SamplingPeriod,Assets,Locations,Hospitals,Date,Your reference number,Date isolate sent,Date isolate received (QEHB use only),Positive isolate ID (QEHB use only),Freezer box location,Test result,Users
End,B2W-GSOH,lhch-ITU,Z,15-Dec-2014,136373,07-Jan-2015,08-Jan-2015,6929288,7.9,Pseudomonas isolated,Z2
End,B2W-ML58,lhch-ITU,Z,15-Dec-2014,B2W-ML58,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-G7ZV,lhch-ITU,Z,15-Dec-2014,B2W-G7ZV,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-C261,lhch-ITU,Z,15-Dec-2014,B2W-C261,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-BQX5,lhch-ITU,Z,15-Dec-2014,136371,07-Jan-2015,08-Jan-2015,6929287,7.8,Pseudomonas isolated,Z2
End,B2W-8JMR,lhch-ITU,Z,15-Dec-2014,B2W-8JMR,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-8JDLC,lhch-ITU,Z,15-Dec-2014,B2W-8JDLC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-8JDLH,lhch-ITU,Z,15-Dec-2014,B2W-8JDLH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-810X,lhch-ITU,Z,15-Dec-2014,B2W-810X,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5XZ3,lhch-ITU,Z,15-Dec-2014,B2W-5XZ3,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5XRT,lhch-ITU,Z,15-Dec-2014,B2W-5XRT,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5XLK,lhch-ITU,Z,15-Dec-2014,B2W-5XLK,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5XFB,lhch-ITU,Z,15-Dec-2014,B2W-5XFB,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5X82,lhch-ITU,Z,15-Dec-2014,B2W-5X82,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5X2M,lhch-ITU,Z,15-Dec-2014,B2W-5X2M,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-5WS9,lhch-ITU,Z,15-Dec-2014,B2W-5WS9,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-550HC,lhch-ITU,Z,15-Dec-2014,B2W-550HC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-550HH,lhch-ITU,Z,15-Dec-2014,B2W-550HH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-4ZCW,lhch-ITU,Z,15-Dec-2014,B2W-4ZCW,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-0VGX,lhch-ITU,Z,15-Dec-2014,B2W-0VGX,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-17TX,lhch-ITU,Z,15-Dec-2014,B2W-17TX,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-17LQC,lhch-ITU,Z,15-Dec-2014,B2W-17LQC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-17LQH,lhch-ITU,Z,15-Dec-2014,B2W-17LQH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-4H32,lhch-ITU,Z,15-Dec-2014,B2W-4H32,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-46V2,lhch-ITU,Z,15-Dec-2014,B2W-46V2,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-3V3S,lhch-ITU,Z,15-Dec-2014,B2W-3V3S,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-3LZ0,lhch-ITU,Z,15-Dec-2014,B2W-3LZ0,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-3BJD,lhch-ITU,Z,15-Dec-2014,B2W-3BJD,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-30TR,lhch-ITU,Z,15-Dec-2014,B2W-30TR,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-2NT1,lhch-ITU,Z,15-Dec-2014,B2W-2NT1,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-L0MXC,lhch-ITU,Z,15-Dec-2014,B2W-L0MXC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-L0MXH,lhch-ITU,Z,15-Dec-2014,B2W-L0MXH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-KPDB,lhch-ITU,Z,15-Dec-2014,B2W-KPDB,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-KFVN,lhch-ITU,Z,15-Dec-2014,B2W-KFVN,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-K5SD,lhch-ITU,Z,15-Dec-2014,B2W-K5SD,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-JKKL,lhch-ITU,Z,15-Dec-2014,B2W-JKKL,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-J5PZ,lhch-ITU,Z,15-Dec-2014,B2W-J5PZ,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-HS0H,lhch-ITU,Z,15-Dec-2014,B2W-HS0H,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-WD0DC,lhch-ITU,Z,15-Dec-2014,136375,07-Jan-2015,08-Jan-2015,6929286,7.7,Pseudomonas isolated,Z2
End,B2W-WD0DH,lhch-ITU,Z,15-Dec-2014,B2W-WD0DH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-GPZQ,lhch-ITU,Z,15-Dec-2014,B2W-GPZQ,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-GPRKC,lhch-ITU,Z,15-Dec-2014,B2W-GPRKC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-GPRKH,lhch-ITU,Z,15-Dec-2014,B2W-GPRKH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-DBCW,lhch-ITU,Z,15-Dec-2014,B2W-DBCW,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-FSHH,lhch-ITU,Z,15-Dec-2014,B2W-FSHH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-F1GG,lhch-ITU,Z,15-Dec-2014,B2W-F1GG,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-DPQLC,lhch-ITU,Z,15-Dec-2014,B2W-DPQLC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-DPQLH,lhch-ITU,Z,15-Dec-2014,B2W-DPQLH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-FGTK,lhch-ITU,Z,15-Dec-2014,B2W-FGTK,,,,,P.aeruginosa NOT isolated,Z2
