id,plate,sequenced,qc
6928079,1,N,
6928106,1,N,
6928114,1,N,
6928119,1,N,
6928138,1,N,
6928142,1,N,
6928123,1,N,
6928126,1,N,
6928081,1,N,
6928082,1,N,
6928096,1,N,
6928098,1,N,
6928089,1,N,
6928094,1,N,
6928165,1,N,
6928166,1,N,
6928154,1,N,
6928161,1,N,
6928047,1,N,
6928057,1,N,
6928167,1,N,
6928168,1,N,
6928203,1,N,
6928206,1,N,
6928215,1,N,
6928218,1,N,
6928171,1,N,
6928182,1,N,
6928213,1,N,
6928269,1,N,
6928226,1,N,
6928228,1,N,
6928058,1,N,
6928065,1,N,
6928239,1,N,
6928243,1,N,
6928109,1,N,
6928153,1,N,
6928220,1,N,
6928221,1,N,
6928130,1,N,
6928131,1,N,
6928099,1,N,
6928042,1,N,
6928134,1,N,
6928137,1,N,
6928084,1,N,
6928086,1,N,
6928143,1,N,
6928148,1,N,
6928048,1,N,
6928052,1,N,
6928223,1,N,
6928234,1,N,
6928258,1,N,
6928251,1,N,
6928273,1,N,
6928324,1,N,
6928325,1,N,
6928326,1,N,
6928327,1,N,
6928328,1,N,
6928329,1,N,
6928330,1,N,
6928348,1,N,
6928349,1,N,
6928350,1,N,
6928351,1,N,
6928352,1,N,
6928353,1,N,
6928354,1,N,
6928355,1,N,
6928356,1,N,
6928357,1,N,
6928358,1,N,
6928359,1,N,
6928360,1,N,
6928361,1,N,
6928362,1,N,
6928363,1,N,
6928364,1,N,
6928365,1,N,
6928366,1,N,
6928367,1,N,
6928368,1,N,
6928369,1,N,
6928370,1,N,
6928371,1,N,
6928372,1,N,
6928373,1,N,
6928374,1,N,
6928375,1,N,
6928270,2,Y,
6928331,2,Y,
6928332,2,Y,
6928334,2,Y,
6928335,2,Y,
6928336,2,Y,
6928337,2,Y,
6928338,2,Y,
6928339,2,Y,
6928340,2,Y,
6928341,2,Y,
6928342,2,Y,
6928343,2,Y,
6928344,2,Y,
6928345,2,Y,
6928347,2,Y,
6928376,2,Y,
6928377,2,Y,
6928378,2,Y,
6928379,2,Y,
6928380,2,Y,
6928381,2,Y,
6928382,2,Y,
6928383,2,Y,
6928384,2,Y,
6928385,2,Y,
6928386,2,Y,
6928387,2,Y,
6928388,2,Y,
6928389,2,Y,
6928390,2,Y,
6928391,2,Y,
6928392,2,Y,
6928393,2,Y,
6928394,2,Y,
6928395,2,Y,
6928396,2,Y,
6928397,2,Y,
6928398,2,Y,
6928399,2,Y,
6928402,2,Y,
6928403,2,Y,
6928404,2,Y,
6928405,2,Y,
6928406,2,Y,
6928407,2,Y,
6928408,2,Y,
6928409,2,Y,
6928411,2,Y,
6928412,2,Y,
6928413,2,Y,
6928414,2,Y,
6928415,2,Y,
6928417,2,Y,
6928418,2,Y,
6928419,2,Y,
6928420,2,Y,
6928421,2,Y,
6928422,2,Y,
6928423,2,Y,
6928424,2,Y,
6928425,2,Y,
6928426,2,Y,
6928427,2,Y,
6928428,2,Y,
6928429,2,Y,
6928430,2,Y,
6928431,2,Y,
6928432,2,Y,
6928433,2,Y,
6928434,2,Y,
6928435,2,Y,
6928436,2,Y,
6928437,2,Y,
6928438,2,Y,
6928439,2,Y,
6928410,2,Y,
6982400,2,Y,
6928401,2,Y,
6928440,2,Y,
6928441,2,Y,
6928442,2,Y,
6928443,2,Y,
6928444,2,Y,
6928475,2,Y,
6928476,2,Y,
6928477,2,Y,
6928478,2,Y,
6928446,2,Y,
6928452,2,Y,
6928453,2,Y,
6928463,2,Y,
6928466,3,Y,
6928467,3,Y,
6928456,3,Y,
6928445,3,Y,
6928557,3,Y,
6928448,3,Y,
6928457,3,Y,
6928459,3,Y,
6928485,3,Y,
6928497,3,Y,
6928500,3,Y,
6928501,3,Y,
6928502,3,Y,
6928505,3,Y,
6928558,3,Y,
6928521,3,Y,
6928523,3,Y,
6928535,3,Y,
6928458,3,Y,
6928494,3,Y,
6928507,3,Y,
6928610,3,Y,
6928612,3,Y,
6928613,3,Y,
6928618,3,Y,
6928619,3,Y,
6928620,3,Y,
6928622,3,Y,
6928589,3,Y,
6928599,3,Y,
6928602,3,Y,
6928603,3,Y,
6928527,3,Y,
6928584,3,Y,
6928580,3,Y,
6928585,3,Y,
6928586,3,Y,
6928576,3,Y,
6928570,3,Y,
6928572,3,Y,
6928574,3,Y,
6928575,3,Y,
6928629,3,Y,
6928637,3,Y,
6928656,3,Y,
6928658,3,Y,
6928633,3,Y,
6928636,3,Y,
6928705,3,Y,
6928706,3,Y,
6928729,3,Y,
6928707,3,Y,
6928711,3,Y,
6928714,3,Y,
6928718,3,Y,
6928720,3,Y,
6928741,3,Y,
6928661,3,Y,
6928743,3,Y,
6928662,3,Y,
6928744,3,Y,
6928745,3,Y,
6928712,3,Y,
6928728,3,Y,
6928746,3,Y,
6928747,3,Y,
6928748,3,Y,
6928749,3,Y,
6928750,3,Y,
6928751,3,Y,
6928752,3,Y,
6928753,3,Y,
6928754,3,Y,
6928772,3,Y,
6928839,3,Y,
6928840,3,Y,
6928849,3,Y,
6928850,3,Y,
6928852,3,Y,
6928853,3,Y,
6928854,3,Y,
6928855,3,Y,
6928863,3,Y,
6928864,3,Y,
6928865,3,Y,
6928866,3,Y,
6928867,3,Y,
6928868,3,Y,
6928869,3,Y,
6928870,3,Y,
6928871,3,Y,
6928874,3,Y,
6928875,4,Y,
6928876,4,Y,
6928877,4,Y,
6928878,4,Y,
6928879,4,Y,
6928880,4,Y,
6928881,4,Y,
6928882,4,Y,
6928883,4,Y,
6928884,4,Y,
6928885,4,Y,
6928886,4,Y,
6928887,4,Y,
6928888,4,Y,
6928889,4,Y,
6928890,4,Y,
6928891,4,Y,
6928892,4,Y,
6928893,4,Y,
6928894,4,Y,
6928895,4,Y,
6928896,4,Y,
6928897,4,Y,
6928898,4,Y,
6928908,4,Y,
6928907,4,Y,
6928899,4,Y,
6928900,4,Y,
6928901,4,Y,
6928902,4,Y,
6928903,4,Y,
6928904,4,Y,
6928905,4,Y,
6928906,4,Y,
6928909,4,Y,
6928910,4,Y,
6928911,4,Y,
6928912,4,Y,
6928913,4,Y,
6928914,4,Y,
6928915,4,Y,
6928916,4,Y,
6928917,4,Y,
6928918,4,Y,
6929148,4,Y,
6929081,4,Y,
6929085,4,Y,
6929093,4,Y,
6929104,4,Y,
6929096,4,Y,
6929106,4,Y,
6929105,4,Y,
6929110,4,Y,
6929113,4,Y,
6929115,4,Y,
6929123,4,Y,
6929129,4,Y,
6929147,4,Y,
6929035,4,Y,
6929036,4,Y,
6929040,4,Y,
6929041,4,Y,
6929046,4,Y,
6929067,4,Y,
6929029,4,Y,
6929031,4,Y,
6929033,4,Y,
6929047,4,Y,
6929150,4,Y,
6928972,4,Y,
6929016,4,Y,
6929005,4,Y,
6929071,4,Y,
6929069,4,Y,
6929099,4,Y,
6929095,4,Y,
6929094,4,Y,
6929079,4,Y,
6929089,4,Y,
6928985,4,Y,
6928987,4,Y,
6928996,4,Y,
6928998,4,Y,
6929003,4,Y,
6929017,4,Y,
6929019,4,Y,
6928920,4,Y,
6928921,4,Y,
6928925,4,Y,
6928932,4,Y,
6928945,4,Y,
6928950,4,Y,
6928487,5,Y,
6928742,5,Y,
6928958,5,Y,
6928962,5,Y,
6928963,5,Y,
6928967,5,Y,
6928969,5,Y,
6928975,5,Y,
6928982,5,Y,
6929027,5,Y,
6929149,5,Y,
6928965,5,Y,
6929024,5,Y,
6929134,5,Y,
6929011,5,Y,
6929152,5,Y,
6929153,5,Y,
6929154,5,Y,
6929155,5,Y,
6929157,5,Y,
6929198,5,Y,
6929159,5,Y,
6929160,5,Y,
6929161,5,Y,
6929162,5,Y,
6929163,5,Y,
6929164,5,Y,
6929167,5,Y,
6929168,5,Y,
6929171,5,Y,
6929172,5,Y,
6929173,5,Y,
6929175,5,Y,
6929176,5,Y,
6929177,5,Y,
6929178,5,Y,
6929180,5,Y,
6929181,5,Y,
6929183,5,Y,
6929185,5,Y,
6929186,5,Y,
6929187,5,Y,
6929188,5,Y,
6929189,5,Y,
6929191,5,Y,
6929193,5,Y,
6929194,5,Y,
6929195,5,Y,
6929196,5,Y,
6929197,5,Y,
6929200,5,Y,
6929201,5,Y,
6929202,5,Y,
6929203,5,Y,
6929204,5,Y,
6929205,5,Y,
6929206,5,Y,
6929207,5,Y,
6929208,5,Y,
6929210,5,Y,
6929212,5,Y,
6929213,5,Y,
6929215,5,Y,
6929182,5,Y,
6929226,5,Y,
6929184,5,Y,
6929158,5,Y,
6929170,5,Y,
6929237,5,Y,
6929236,5,Y,
6929238,5,Y,
6929240,5,Y,
6929241,5,Y,
6929242,5,Y,
6929243,5,Y,
6929244,5,Y,
6929245,5,Y,
6929246,5,Y,
6929247,5,Y,
6929250,5,Y,
6929251,5,Y,
6929252,5,Y,
6929253,5,Y,
6929254,5,Y,
6929255,5,Y,
6929256,5,Y,
6929257,5,Y,
6929258,5,Y,
6929259,5,Y,
6929260,5,Y,
6929262,5,Y,
6929263,5,Y,
6929264,6,N,
6929265,6,N,
6929266,6,N,
6929267,6,N,
6929269,6,N,
6929270,6,N,
6929271,6,N,
6929272,6,N,
6929273,6,N,
6929274,6,N,
6929275,6,N,
6929277,6,N,
6929278,6,N,
6929279,6,N,
6929280,6,N,
6929281,6,N,
6929282,6,N,
6929284,6,N,
6929285,6,N,
6929286,6,N,
6929287,6,N,
6929288,6,N,
6929290,6,N,
6929293,6,N,
6929312,6,N,
6929301,6,N,
6929309,6,N,
6929311,6,N,
6929300,6,N,
6929313,6,N,
6929314,6,N,
6929297,6,N,
6929291,6,N,
6929305,6,N,
6929307,6,N,
6929296,6,N,
6929303,6,N,
6929299,6,N,
6929302,6,N,
6929294,6,N,
6929298,6,N,
6929304,6,N,
6929289,6,N,
6929295,6,N,
6929306,6,N,
6929308,6,N,
6929310,6,N,
6929315,6,N,
6929337,6,N,
6929339,6,N,
6929342,6,N,
6929343,6,N,
6929344,6,N,
6929346,6,N,
6929347,6,N,
6929348,6,N,
6929349,6,N,
6929350,6,N,
6929351,6,N,
6929186,6,N,
6928968,6,N,
6929352,6,N,
6929216,6,N,
6929165,6,N,
6929353,6,N,
6929156,6,N,
6929276,6,N,
6929283,6,N,
6929292,6,N,
6929354,6,N,
6929338,6,N,
6929340,6,N,
6929341,6,N,
6929345,6,N,
6929416,6,N,
6928755,6,N,
6928756,6,N,
6928757,6,N,
6928758,6,N,
6928759,6,N,
6928760,6,N,
6928761,6,N,
6928762,6,N,
6928763,6,N,
6928764,6,N,
6928765,6,N,
6928766,6,N,
6928770,6,N,
6928771,6,N,
6929228,6,N,
6929231,6,N,
6929235,6,N,
