IsolateID,SamplingPeriod,Assets,Locations,Hospitals,Date
6929288,End,B2W-GSOH,lhch-ITU,Z,15-Dec-2014
6929287,End,B2W-BQX5,lhch-ITU,Z,15-Dec-2014
6929286,End,B2W-WD0DC,lhch-ITU,Z,15-Dec-2014
6929281,End,D6L-7FR5,rluh-ITU,Z,17-Dec-2014
6929280,End,D6L-X0JZ,rluh-ITU,Z,17-Dec-2014
6929279,End,D6L-D72B,rluh-ITU,Z,17-Dec-2014
6929278,End,D6L-RQKS,rluh-ITU,Z,17-Dec-2014
6929277,End,D6L-GW3B,rluh-ITU,Z,17-Dec-2014
6929285,End,8B-102A,rluh-HDU,Z,18-Dec-2014
6929284,End,CBM-QKNL,rluh-HDU,Z,18-Dec-2014
6929283,End,CBM-T3BX,rluh-HDU,Z,18-Dec-2014
6929282,End,8B-8022,rluh-HDU,Z,18-Dec-2014
6929292,End,12/429 SHOWER,12 West,X,10-Dec-2014
6929353,Middle,12/431 WHB,12 West,X,28-Oct-2014
6929344,Beginning,11/252/2 SHOWER,11 South,X,03-Sep-2014
6929343,Beginning,12/238/2 SHOWER,12 East,X,03-Sep-2014
6929342,Beginning,12/435 WHB,12 West,X,02-Sep-2014
6929341,Beginning,12/424 SHOWER,12 West,X,02-Sep-2014
6929352,End,04256,CC-D,W,06-Dec-2014
6929350,End,00391,CC-C,W,06-Dec-2014
6929349,End,05924,CC-A,W,06-Dec-2014
6929348,End,05948,CC-A,W,06-Dec-2014
6929347,Middle,00432,CC-B,W,23-Oct-2014
6929346,Middle,05924,CC-A,W,21-Oct-2014
6929340,Beginning,04260,CC-D,W,30-Aug-2014
6929339,Beginning,05940,CC-A,W,30-Aug-2014
6929338,Beginning,05924,CC-A,W,30-Aug-2014
6929337,Beginning,00401,CC-C,W,30-Aug-2014
6928394,Beginning,11/249 SHOWER,11 East,X,05-Sep-2014
6928393,Beginning,12/436 WHB,12 West,X,05-Sep-2014
6928392,Beginning,12/426 SHOWER,12 West,X,05-Sep-2014
